Site Pt,Area,Northing,Easting,Date Time,CH4 flux,H2S flux,CO2 flux,Pressure,Temp,CH4 slope,H2S slope,CO2 slope
baird125_01,Baird,1230598.374,2330638.039,29‐05‐2012 09:59:38,0,0.000729,0.090353,784.9,29.1,0,0.003,0.372000009
baird125_02,Baird,1230640.73,2330642.375,29‐05‐2012 10:08:57,0,0.000482,0.072957,784.8,31.7,0,0.002,0.303000003
baird125_03,Baird,1230689.82,2330643.94,29‐05‐2012 10:13:47,0,0.00072,0.054443,784.8,32.9,0,0.003,0.226999998
baird125_04,Baird,1230743.238,2330641.499,29‐05‐2012 10:17:05,0,0.001676,0.103886,784.8,33.5,0,0.007,0.433999985
baird125_05,Baird,1230792.122,2330641.965,29‐05‐2012 10:20:14,0,0.001434,0.098013,784.8,33.9,0,0.006,0.409999996
baird125_06,Baird,1230786.521,2330695.21,29‐05‐2012 10:23:27,0,0.002149,0.174307,784.9,34.3,0,0.009,0.730000019
baird125_07,Baird,1230733.796,2330693.912,29‐05‐2012 10:27:18,0,0.000477,0.061512,785.0,34.8,0,0.002,0.257999986
baird125_08,Baird,1230691.026,2330697.576,29‐05‐2012 10:30:49,0,0.001191,0.06169,785.0,35.1,0,0.005,0.259000003
baird125_09,Baird,1230637.411,2330693.033,29‐05‐2012 10:34:09,0,0.000476,0.135124,784.8,35.4,‐0.011,0.002,0.568000019
baird125_10,Baird,1230582.685,2330696.477,29‐05‐2012 10:40:44,0,0.00095,0.041327,784.8,35.9,0,0.004,0.173999995
baird125_11,Baird,1230584.787,2330736.504,29‐05‐2012 10:45:35,0,0.000475,0.319563,785.0,36.1,0,0.002,1.345999956
baird125_12,Baird,1230636.965,2330740.914,29‐05‐2012 10:51:06,0,0.000949,0.141847,784.8,36.3,0,0.004,0.59799999
baird125_13,Baird,1230685.947,2330741.289,29‐05‐2012 10:54:36,0,0.000948,0.265699,784.7,36.5,0,0.004,1.121000051
baird125_14,Baird,1230733.952,2330742.074,29‐05‐2012 10:57:36,0,0.000474,0.090512,784.7,36.6,0,0.002,0.381999999
baird125_15,Baird,1230783.57,2330745.776,29‐05‐2012 11:01:26,0,0.001421,0.075546,784.8,36.8,0,0.006,0.319000006
baird125_16,Baird,1230781.193,2330795.518,29‐05‐2012 11:05:36,0,0.001893,0.001657,784.8,37.0,‐0.025,0.008,0.007
baird125_17,Baird,1230732.477,2330792.655,29‐05‐2012 11:09:14,0,0.001183,0.028855,784.8,37.2,0,0.005,0.122000001
baird125_18,Baird,1230686.27,2330791.217,29‐05‐2012 11:12:49,0,0.001654,0.129274,784.7,37.4,0,0.007,0.546999991
baird125_19,Baird,1230640.936,2330788.679,29‐05‐2012 11:16:05,0,0.001181,0.085497,784.7,37.6,0,0.005,0.361999989
baird125_20,Baird,1230585.148,2330788.337,29‐05‐2012 11:19:44,0,0.001652,0.085442,784.7,37.8,0,0.007,0.361999989
baird125_21,Baird,1230585.782,2330840.596,29‐05‐2012 11:24:08,0,0.001416,0.009674,784.7,37.9,0,0.006,0.041000001
