SitePt,Area,Northing,Easting,Date Time,CH4 Flux,H2S Flux,CO2 Flux,Pressure,Temp,CH4 Slope,H2S Slope,CO2 Slope
Baird061813_01,Baird,1230582.751,2330846.512,18-06-2013 08:52:23,0,0,0.070126988,788.2,23.3,0,-0.006,0.282000005
Baird061813_02,Baird,1230638.036,2330851.514,18-06-2013 08:55:37,0,0.001729544,0.063004807,786.3,24.5,0,0.007,0.254999995
Baird061813_03,Baird,1230685.487,2330845.886,18-06-2013 08:59:09,0,0.000738717,0.006155971,786.0,25.4,0,0.003,0.025
Baird061813_04,Baird,1230733.605,2330842.513,18-06-2013 09:03:05,0,0.003434689,0.11751543,786.0,26.5,0,0.014,0.479000002
Baird061813_05,Baird,1230781.849,2330845.619,18-06-2013 09:05:41,0,0.00171492,0.074231535,786.2,27.0,0,0.007,0.303000003
Baird061813_06,Baird,1230782.874,2330802.486,18-06-2013 09:08:07,0,0.000488875,0.153506815,786.0,27.6,0,0.002,0.628000021
Baird061813_07,Baird,1230785.676,2330743.493,18-06-2013 09:10:43,0,0.00170931,0,786.5,28.1,0,0.007,-0.039000001
Baird061813_08,Baird,1230785.655,2330695.468,18-06-2013 09:13:18,0,0.004383843,0.138334602,786.0,28.7,0,0.017999999,0.568000019
Baird061813_09,Baird,1230785.732,2330647.084,18-06-2013 09:15:46,0,0.001702009,0.054464273,786.0,29.2,0,0.007,0.224000007
Baird061813_10,Baird,1230741.16,2330649.619,18-06-2013 09:18:09,0,0.0019413,0.050959129,786.0,29.8,0,0.008,0.209999993
Baird061813_11,Baird,1230687.402,2330648.163,18-06-2013 09:21:26,0,0,0.029042808,786.0,30.6,0,0,0.119999997
Baird061813_12,Baird,1230643.114,2330651.234,18-06-2013 09:24:10,0,0.00193149,0.075328097,785.9,31.3,0,0.008,0.312000006
Baird061813_13,Baird,1230595.804,2330637.25,18-06-2013 09:28:03,0,0.000240834,0,786.0,32.1,0,0.001,-0.99000001
Baird061813_14,Baird,1230579.811,2330688.092,18-06-2013 09:30:59,0,0.000480662,0.062966742,785.9,32.7,0,0.002,0.261999995
