Site Pt                                         Abbrev,Area,Northing,Easting,Date Time,CH4 flux,H2S flux,CO2 flux,Pressure,Temp,CH4 slope,H2S slope,CO2 slope
BasinCreek061219_01,BC2CJ,1210001.458,2302853.192,12/6/19 10:00,0.000000,0.000000,0.000000,802.7,26.8,-3.529,-0.007,-0.113
BasinCreek061219_02,BC2CJ,1210023.686,2302981.891,12/6/19 10:04,0.000000,0.000000,0.000000,802.7,28.1,0,-0.003,-0.116
BasinCreek061219_03,BC2CJ,1210014.696,2303160.124,12/6/19 10:07,0.000000,0.000000,0.000000,803.1,29.1,0,-0.004,-0.075
BasinCreek061219_04,BC2CJ,1209804.663,2303315.605,12/6/19 10:11,0.000000,0.000000,0.000000,803.8,30.3,0,-0.001,-0.018
BasinCreek061219_05,BC2CJ,1210007.123,2303362.213,12/6/19 10:14,0.000000,0.000000,0.000000,803.7,31.1,0,-0.004,-0.009
BasinCreek061219_06,BC2CJ,1210016.838,2303571.791,12/6/19 10:18,0.000000,0.000000,0.000000,804.3,31.8,0,-0.004,-0.112
BasinCreek061219_07,BC2CJ,1209799.323,2303512.62,12/6/19 10:22,0.000000,0.000000,0.000000,804.1,32.7,-1.76,-0.004,-0.117
BasinCreek061219_08,BC2CJ,1209749.986,2303499.253,12/6/19 10:28,0.000000,0.000000,0.000000,803.3,33.7,-0.001,-0.002,-0.053
BasinCreek061219_09,BC2CJ,1209757.375,2303773.062,12/6/19 10:35,0.000000,0.000000,0.000000,803.0,34.6,0,-0.004,-0.381
BasinCreek061219_10,BC2CJ,1209804.616,2303954.749,12/6/19 10:42,0.000000,0.000000,0.000000,803.0,35.5,0,-0.004,-0.023
BasinCreek061219_11,BC2CJ,1209968.315,2303954.466,12/6/19 10:45,0.000000,0.000000,0.000000,804.1,35.8,0,-0.005,-0.027
BasinCreek061219_12,BC2CJ,1210001.473,2303837.741,12/6/19 10:48,0.000000,0.000000,0.000000,803.8,36.2,0,-0.004,-0.09
BasinCreek061219_13,BC2CJ,1210148.612,2303796.936,12/6/19 10:52,0.000000,0.000000,0.000000,803.8,36.7,0,-0.001,-0.049
BasinCreek061219_14,BC2CJ,1210181.956,2303550.881,12/6/19 10:55,0.000000,0.000000,0.000000,802.5,37.3,0,-0.005,-0.035
BasinCreek061219_15,BC2CJ,1210147.473,2303353.95,12/6/19 10:58,0.000000,0.000000,0.000000,802.3,37.9,0,-0.002,-0.042
BasinCreek061219_16,BC2CJ,1210145.427,2304007.216,12/6/19 11:03,0.000000,0.000000,0.000000,802.3,38.8,-0.638,-0.006,-0.073
BasinCreek061219_17,BC2CJ,1209938.18,2304183.137,12/6/19 11:07,0.000000,0.000000,0.000000,802.5,39.3,0,-0.009,-0.018
BasinCreek061219_18,BC2CJ,1209793.566,2304172.743,12/6/19 11:11,0.000000,0.000000,0.000000,802.9,39.6,0,-0.003,-0.094
BasinCreek061219_19,BC2CJ,1209610.359,2304190.689,12/6/19 11:14,0.000000,0.000000,0.000000,803.7,39.8,0,-0.01,-0.041
BasinCreek061219_20,BC2CJ,1209570.728,2304331.702,12/6/19 11:17,0.000000,0.000000,0.000000,803.9,40.0,-0.031,-0.017,-0.395
BasinCreek061219_21,BC2CJ,1209785.723,2304408.23,12/6/19 11:22,0.000000,0.000000,0.000000,803.9,40.4,-1.234,-0.008,-0.005
BasinCreek061219_22,BC2CJ,1209766.561,2304550.701,12/6/19 11:25,0.000000,0.000000,0.000000,802.9,40.7,-0.951,-0.007,-0.022
BasinCreek061219_23,BC2CJ,1209967.579,2304589.879,12/6/19 11:28,0.000000,0.000000,0.000000,802.7,41.0,-0.001,-0.004,-0.076
BasinCreek061219_24,BC2CJ,1209957.208,2304371.896,12/6/19 11:31,0.000000,0.000000,0.000000,802.5,41.3,-0.034,-0.009,-0.237
BasinCreek061219_25,BC2CJ,1210127.892,2304407.983,12/6/19 11:35,0.000000,0.000000,0.000000,802.3,41.5,0,-0.015,-0.014
BasinCreek061219_26,BC2CJ,1210169.532,2304356.574,12/6/19 11:39,0.000000,0.000000,0.000000,802.2,41.8,0,-0.007,-0.275
BasinCreek061219_27,BC2CJ,1210187.759,2304181.987,12/6/19 11:43,0.000000,0.000000,0.000000,802.3,42.1,-0.049,-0.011,-0.026
BasinCreek061219_28,BC2CJ,1210317.221,2304143.101,12/6/19 11:47,0.000000,0.000000,0.000000,801.8,42.4,-0.096,-0.009,-0.209
BasinCreek061219_29,BC2CJ,1210505.502,2304188.259,12/6/19 11:51,0.000000,0.000000,0.000000,800.4,42.7,0,-0.009,-0.017
BasinCreek061219_30,BC2CJ,1210380.236,2304034.435,12/6/19 11:55,0.000000,0.000000,0.000000,800.4,42.8,0,-0.009,-0.407
BasinCreek061219_31,BC2CJ,1210500.929,2303959.794,12/6/19 11:59,0.000000,0.000000,0.000000,800.0,42.9,0,-0.011,-0.314
BasinCreek061219_32,BC2CJ,1210709.107,2304132.987,12/6/19 12:05,0.000000,0.000000,0.000000,799.1,43.1,-0.018,-0.005,-0.054
BasinCreek061219_33,BC2CJ,1210546.308,2303861.298,12/6/19 12:12,0.000000,0.000000,0.000000,798.5,43.5,0,-0.005,-0.03
BasinCreek061219_34,BC2CJ,1210691.427,2303826.364,12/6/19 12:16,0.000000,0.001648,0.001648,797.7,43.7,0,0.007,0.007
BasinCreek061219_35,BC2CJ,1210755.065,2303947.697,12/6/19 12:21,0.000000,0.000000,0.000000,796.4,44.0,-0.001,-0.012,-0.023
BasinCreek061219_36,BC2CJ,1210863.94,2303600.917,12/6/19 12:29,0.000000,0.000000,0.001407,796.3,44.5,-0.015,-0.01,0.006
BasinCreek061219_37,BC2CJ,1211005.322,2303437.246,12/6/19 12:36,0.000000,0.001638,0.052655,795.8,44.9,-0.02,0.007,0.225
BasinCreek061219_38,BC2CJ,1211019.182,2303596.929,12/6/19 12:42,0.000000,0.001399,0.000000,793.6,45.2,-0.002,0.006,-0.001
BasinCreek061219_39,BC2CJ,1210982.791,2303699.942,12/6/19 12:48,0.000000,0.003260,0.000000,792.9,45.3,-0.016,0.014,-0.007
