Site Pt,Area,Northing,Easting,Pressure,Temp,Date Time,CH4 slope,H2S slope,CO2 slope,CH4 flux,H2S flux,CO2 flux
Baird060520_01,Baird,1230790,2330629,785.3,26.4,6/5/20,-1.165,-0.002,0.388,0,0,0.095137
Baird060520_02,Baird,1230788,2330685,785.5,27.2,6/5/20,-0.043,-0.003,0.155,0,0,0.037914
Baird060520_03,Baird,1230804,2330762,785.6,27.9,6/5/20,-0.21,-0.005,0.103,0,0,0.025139
Baird060520_04,Baird,1230778,2330806,785.6,28.7,6/5/20,-0.453,-0.005,2.241,0,0,0.545511
Baird060520_05,Baird,1230793,2330849,785.6,29.4,6/5/20,-0.066,-0.004,0.74,0,0,0.179716
Baird060520_06,Baird,1230747,2330839,785.6,30.3,6/5/20,-0.718,-0.005,0.344,0,0,0.083296
Baird060520_07,Baird,1230735,2330808,785.6,31.1,6/5/20,-0.872,-0.007,0.235,0,0,0.056753
Baird060520_08,Baird,1230699,2330814,785.5,31.9,6/5/20,-0.791,-0.004,0.146,0,0,0.035162
Baird060520_09,Baird,1230687,2330851,785.5,32.8,6/5/20,0,-0.005,0.375,0,0,0.090049
Baird060520_10,Baird,1230665,2330810,785.5,33.6,6/5/20,0,-0.003,0.246,0,0,0.058918
Baird060520_11,Baird,1230650,2330839,785.5,34.4,6/5/20,0,-0.006,0.506,0,0,0.120874
Baird060520_12,Baird,1230612,2330860,785.8,35.1,6/5/20,-0.045,-0.009,0.318,0,0,0.075821
Baird060520_13,Baird,1230595,2330778,785.5,35.9,6/5/20,-1.909,-0.019,0.255,0,0,0.060619
Baird060520_14,Baird,1230610,2330731,785.5,36.6,6/5/20,0,-0.006,0.375,0,0,0.088944
Baird060520_15,Baird,1230606,2330688,785.5,37.2,6/5/20,-0.186,-0.011,0.101,0,0,0.023909
Baird060520_16,Baird,1230630,2330644,785.5,37.8,6/5/20,-0.614,-0.005,0.16,0,0,0.037803
