Year,Well,Water Volume,Formation,,,,,,,,,,,,,,,,,,,,,
2018,5179,8152151,Mesaverde,,,,,,,,,,,,,,,,,,,,,
2013,6307,27456,Cliffhouse,,,,,,,,,,,,,,,,,,,,,
2013,6224,428970,Mesaverde,,,,,,,,,,,,,,,,,,,,,
2012,9260,1961025,Mesaverde,,,,,,,,,,,,,,,,,,,,,
2016,6973,770243,Mesaverde,,,,,,,,,,,,,,,,,,,,,
2017,6973,223372,Mesaverde,,,,,,,,,,,,,,,,,,,,,
2012,8732,819728,EBM,,,,,,,,,,,,,,,,,,,,,
2016,8732,677705,EBM,,,,,,,,,,,,,,,,,,,,,
2017,8732,837787,EBM,,,,,,,,,,,,,,,,,,,,,
2018,8732,838443,EBM,,,,,,,,,,,,,,,,,,,,,
2019,8732,609860,EBM,,,,,,,,,,,,,,,,,,,,,
2018,7016,2383478,BCD,,,,,,,,,,,,,,,,,,,,,
2014,8718,1635491,Mesaverde,,,,,,,,,,,,,,,,,,,,,
2015,7305,767502,Entrada,,,,,,,,,,,,,,,,,,,,,
2016,7305,366415,Entrada,,,,,,,,,,,,,,,,,,,,,
2017,7305,9647,Entrada,,,,,,,,,,,,,,,,,,,,,
2018,7305,452471,Entrada,,,,,,,,,,,,,,,,,,,,,
2019,7305,164356,Entrada,,,,,,,,,,,,,,,,,,,,,
2017,8397,422576,Morrison,,,,,,,,,,,,,,,,,,,,,
2012,9452,57780,BurroCanyon,,,,,,,,,,,,,,,,,,,,,
2013,9452,37485,BurroCanyon,,,,,,,,,,,,,,,,,,,,,
2016,9452,1382,BurroCanyon,,,,,,,,,,,,,,,,,,,,,
2017,9452,2309,BurroCanyon,,,,,,,,,,,,,,,,,,,,,
2018,9452,4421,BurroCanyon,,,,,,,,,,,,,,,,,,,,,
2012,6971,294572,BS,,,,,,,,,,,,,,,,,,,,,
2013,6971,45747,BS,,,,,,,,,,,,,,,,,,,,,
2016,6971,1584202,BS,,,,,,,,,,,,,,,,,,,,,
2018,6971,987810,BS,,,,,,,,,,,,,,,,,,,,,
2018,8758,665248,Bluffentrada,,,,,,,,,,,,,,,,,,,,,
2013,7500,48379,Entrada,,,,,,,,,,,,,,,,,,,,,
2014,7500,72402,Entrada,,,,,,,,,,,,,,,,,,,,,
2014,7831,59020,BS,,,,,,,,,,,,,,,,,,,,,
2012,7941,13643,Bluffentrada,,,,,,,,,,,,,,,,,,,,,
2013,7941,54244,Bluffentrada,,,,,,,,,,,,,,,,,,,,,
2013,7898,164470,EBM,,,,,,,,,,,,,,,,,,,,,
2015,7898,149164,EBM,,,,,,,,,,,,,,,,,,,,,
