County,Year,Month,Produced Oil,Produced Gas,Produced CBM (Included),Produced Water,Produced CO2,Injected Water,Injected Gas,Injected CO2,Injected Other
Sandoval,2020,1,254938,969255,50610,277332,0,139031,0,0,0
Sandoval,2020,2,227454,921828,45367,258073,0,130698,0,0,0
Sandoval,2020,3,236467,995960,49239,254258,0,129333,0,0,0
Sandoval,2020,4,181822,771873,45851,186205,0,95654,0,0,0
Sandoval,2020,5,86319,376544,47273,109994,0,66818,0,0,0
Sandoval,2020,6,200093,901881,46704,153580,0,59016,0,0,0
Sandoval,2020,7,188570,923004,45346,180837,0,76924,0,0,0
Sandoval,2020,8,177532,886390,45476,219177,0,125046,0,0,0
Sandoval,2020,9,159004,828268,42150,206994,0,118007,0,0,0
Sandoval,2020,10,155484,805976,39903,209635,0,121393,0,0,0
Sandoval,2020,11,147464,761846,39915,207636,0,123011,0,0,0
Sandoval,2020,12,180723,754480,33843,197094,0,116769,0,0,0
Sandoval,2019,1,109683,874090,61259,159308,0,78221,0,0,0
Sandoval,2019,2,114596,874229,46513,213939,0,64960,0,0,0
Sandoval,2019,3,137043,1396335,53225,204239,0,76786,0,0,0
Sandoval,2019,4,142912,1196445,56208,209937,0,84635,0,0,0
Sandoval,2019,5,164039,1133289,58430,248638,0,91705,0,0,0
Sandoval,2019,6,162625,1146887,58455,242016,0,77919,0,0,0
Sandoval,2019,7,164292,1120879,59633,225218,0,87040,0,0,0
Sandoval,2019,8,188438,1122951,55881,397320,0,228778,0,0,0
Sandoval,2019,9,180726,1059003,53413,292612,0,149312,0,0,0
Sandoval,2019,10,180568,1046209,54196,255297,0,128584,0,0,0
Sandoval,2019,11,278445,1045683,49954,299215,0,132903,0,0,0
Sandoval,2019,12,282646,1005515,50010,303788,0,134623,0,0,0
Sandoval,2018,1,102523,1092066,65113,143020,0,86579,0,0,0
Sandoval,2018,2,82420,743350,55784,127254,0,77270,0,0,0
Sandoval,2018,3,136678,1316525,62098,138626,0,82261,0,0,0
Sandoval,2018,4,110088,1131486,58109,123648,0,77919,0,0,0
Sandoval,2018,5,108544,1131769,78688,136796,0,86130,0,0,0
Sandoval,2018,6,107472,1092102,61225,140179,0,81738,0,0,0
Sandoval,2018,7,96403,991417,47261,121358,0,66857,0,0,0
Sandoval,2018,8,98942,1029362,57060,140104,0,89160,0,0,0
Sandoval,2018,9,89763,976657,67024,142900,0,87025,0,0,0
Sandoval,2018,10,90324,997252,63642,153984,0,90410,0,0,0
Sandoval,2018,11,123548,898751,55837,195393,0,82865,0,0,0
Sandoval,2018,12,122305,923246,63751,175021,0,89594,0,0,0
Sandoval,2017,1,99647,821605,62756,122426,0,79940,0,0,0
Sandoval,2017,2,86850,723109,55995,110124,0,69339,0,0,0
Sandoval,2017,3,94478,817466,64830,124592,0,82740,0,0,0
Sandoval,2017,4,90317,781124,60051,125995,0,80604,0,0,0
Sandoval,2017,5,92483,797524,65612,133862,0,86159,0,0,0
Sandoval,2017,6,150108,1037541,59642,170015,0,90131,0,0,0
Sandoval,2017,7,128855,1015429,65919,169175,0,94984,0,0,0
Sandoval,2017,8,110624,920279,63484,148886,0,90543,0,0,0
Sandoval,2017,9,148900,1242762,65383,143795,0,90396,0,0,0
Sandoval,2017,10,136568,1329407,69479,154185,0,92762,0,0,0
Sandoval,2017,11,113615,1210166,67066,138395,0,87396,0,0,0
Sandoval,2017,12,110791,1158223,67761,142502,0,87068,0,0,0
Sandoval,2016,1,142435,1228685,87794,133004,0,89360,0,0,0
Sandoval,2016,2,123794,1097326,82910,185893,0,85102,0,0,0
Sandoval,2016,3,133818,1167197,84909,144430,0,88933,0,0,0
Sandoval,2016,4,120397,1104654,79437,148601,0,79082,0,0,0
Sandoval,2016,5,115715,1102286,79523,143324,0,83146,0,0,0
Sandoval,2016,6,111781,1034544,73786,176161,0,80853,0,0,0
Sandoval,2016,7,106678,1033501,78230,175402,0,85433,0,0,0
Sandoval,2016,8,108793,969715,76422,163813,0,84865,0,0,0
Sandoval,2016,9,101056,869609,41235,164877,0,46811,0,0,0
Sandoval,2016,10,126367,931522,65315,229944,0,82671,0,0,0
Sandoval,2016,11,109100,846208,60751,241194,0,84522,0,0,0
Sandoval,2016,12,105798,855827,66802,155144,0,83550,0,0,0
Sandoval,2015,1,160869,1019968,84291,144715,0,123782,0,0,0
Sandoval,2015,2,144291,974153,82501,119160,0,94701,0,0,0
Sandoval,2015,3,145047,1048137,92459,127588,0,101069,0,0,0
Sandoval,2015,4,146260,1089639,88018,132690,0,111407,0,0,0
Sandoval,2015,5,143812,1096302,90854,152247,0,107196,0,0,0
Sandoval,2015,6,249411,1102394,85478,166563,0,110667,0,0,0
Sandoval,2015,7,225387,1334533,87148,213774,0,160844,0,0,0
Sandoval,2015,8,197896,1344461,84715,165256,0,128094,0,0,0
Sandoval,2015,9,222719,1426881,87435,144511,0,92549,0,0,0
